#GRM32EC72A106ME05,,
#2023/01/18,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
99.99999999999999,1.313395764608321,
104.57921513303334,1.263338966065911,
109.3681223784127,1.2159557759411261,
114.37632398907938,1.1710338086898988,
119.61386192579457,1.1283674890131952,
125.09123799230618,1.0877594314312826,
130.8194348925486,1.0490216244410724,
136.8099382520969,1.011976440567389,
143.0747596480305,0.9764574900378798,
149.6264606933842,0.9423103315735496,
156.47817822447783,0.9093930492262308,
163.643650641628,0.8775766996306265,
171.13724545605763,0.8467456298030682,
178.97398809823787,0.8167976620230115,
187.1695920454257,0.7876441396787537,
195.74049032880657,0.7592098264952304,
204.70386848341695,0.7314326514888556,
214.07769900691426,0.7042632934179328,
223.88077739628844,0.6776646014183986,
234.132759834772,0.6516108528089811,
244.85420260451446,0.6260868544623077,
256.06660330404856,0.6010869002915871,
267.79244395319193,0.5766136038194574,
280.0552360718164,0.5526766309400047,
292.87956782286926,0.5292913633099433,
306.2911533141767,0.5064775268135256,
320.3168841578819,0.4842578218393382,
334.9848833909005,0.46265659244066737,
350.32456186451077,0.44169856975007527,
366.36667721614316,0.4214077213997026,
383.1433955416162,0.4018062334409622,
400.6883558914757,0.382913644779772,
419.03673772076064,0.3647461469456334,
438.22533142743896,0.3473160546263654,
458.2926121209498,0.33063144532690975,
479.2788167687661,0.3146959601816943,
501.22602487566456,0.2995087526900227,
524.1782428574726,0.28506456815426723,
548.1814922784702,0.2713539339604964,
573.2839021293738,0.25836343951637275,
599.5358053309263,0.2460760845296919,
626.9898396565933,0.23447167518537754,
655.7010532767296,0.2235272494380012,
685.7270151358366,0.21321751484817178,
717.1279303842347,0.20351528493160426,
749.9667610955984,0.19439190266211923,
784.3093525124082,0.18581764241033324,
820.224565072452,0.17776208408180824,
857.7844124811066,0.17019445545346917,
897.0642061062426,0.16308394063967852,
938.142705985285,0.15639995422297243,
981.1022787472119,0.1501123818552963,
1026.0290627661395,0.1441917890862795,
1073.0131408776467,0.13860960082973386,
1122.1487210041523,0.13333825426883794,
1173.5343250515148,0.1283513281585667,
1227.2729864556143,0.12362365144571139,
1283.4724567750195,0.11913139392702514,
1342.245421743976,0.1148521413377669,
