#GRM32DR72E224KW01,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
133.75,-60.48909015850539,
135.0,-60.85268533425187,
136.25,-61.210370640874366,
137.5,-61.56225804966047,
138.75,-61.90845886022301,
140.0,-62.24908361316923,
141.25,-62.58424200861157,
142.5,-62.91404283019075,
143.75,-63.238593874297024,
145.0,-63.55800188418868,
146.25,-63.872372488720956,
147.5,-64.18181014541199,
148.75,-64.48641808758526,
150.0,-64.78629827534053,
151.25,-65.08155135011854,
152.5,-65.37227659263529,
153.75,-65.65857188397463,
155.0,-65.94053366963892,
156.25,-66.2182569263671,
157.5,-66.4918351315427,
158.75,-66.7613602350215,
160.0,-67.02692263322085,
161.25,-67.28861114532,
162.5,-67.54651299143198,
163.75,-67.80071377261412,
165.0,-68.05129745259435,
166.25,-68.29834634109817,
167.5,-68.54194107866687,
168.75,-68.78216062286879,
170.0,-69.0190822358077,
171.25,-69.25278147284384,
172.5,-69.48333217244443,
173.75,-69.71080644709167,
175.0,-69.9352746751774,
176.25,-70.15680549382209,
177.5,-70.37546579255904,
178.75,-70.59132070783039,
180.0,-70.80443361824571,
181.25,-71.01486614055823,
182.5,-71.22267812631723,
183.75,-71.42792765915901,
185.0,-71.63067105270312,
186.25,-71.8309628490209,
187.5,-72.02885581765008,
188.75,-72.22440095512732,
190.0,-72.41764748501696,
191.25,-72.60864285841325,
192.5,-72.79743275489633,
193.75,-72.98406108392376,
195.0,-73.16856998664043,
196.25,-73.35099983809046,
197.5,-73.53138924981589,
198.75,-73.70977507282753,
200.0,-73.88619240093286,
201.25,-74.0606745744075,
202.5,-74.23325318399418,
203.75,-74.40395807521585,
205.0,-74.57281735298686,
206.25,-74.73985738650495,
207.5,-74.90510281440841,
208.75,-75.0685765501786,
210.0,-75.23029978776897,
211.25,-75.3902920074377,
212.5,-75.54857098176254,
213.75,-75.70515278181102,
215.0,-75.8600517834394,
216.25,-76.01328067369053,
217.5,-76.1648504572579,
218.75,-76.31477046298136,
220.0,-76.46304835033654,
221.25,-76.60969011587648,
222.5,-76.75470009958156,
223.75,-76.89808099107063,
225.0,-77.03983383562074,
226.25,-77.17995803994167,
227.5,-77.31845137764574,
228.75,-77.45530999435003,
230.0,-77.59052841234274,
231.25,-77.72409953474309,
232.5,-77.85601464907744,
233.75,-77.9862634301899,
235.0,-78.11483394240109,
236.25,-78.24171264082388,
237.5,-78.36688437173763,
238.75,-78.49033237191797,
240.0,-78.61203826681472,
241.25,-78.73198206745957,
242.5,-78.85014216598466,
243.75,-78.96649532962107,
245.0,-79.08101669304335,
246.25,-79.19367974891406,
247.5,-79.30445633648108,
248.75,-79.41331662806348,
250.0,-79.5202291132613,
