#GC332DD7LP154KX18,,#GC332DD7LP154KX18,,
#2023/01/18,,#2023/01/18,,
#z,,#r,,
#DC0V 25degC,,#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],Frequency[Hz],Resistance[ohm],
623288.3689800071,1.7375286619037367,623288.3689800071,0.009563434779140643,
639560.783453066,1.6932151024939808,639560.783453066,0.009445263847774324,
656258.0277255583,1.6500225504435342,656258.0277255583,0.009331144598836735,
673391.1929824331,1.6079224695398608,673391.1929824331,0.009220992048259267,
690971.6599702089,1.5668870465517795,690971.6599702089,0.009114720812733814,
709011.1065566628,1.5268891725260352,709011.1065566628,0.009012245074867753,
727521.5154878813,1.4879024245639758,727521.5154878813,0.008913478580638975,
746515.1823478293,1.4499010480690386,746515.1823478293,0.008818334665786128,
766004.7237257219,1.4128599394555725,766004.7237257219,0.008726726307683575,
786003.0855966229,1.3767546293092474,786003.0855966229,0.00863856619923479,
806523.5519208414,1.341561265989128,806523.5519208414,0.008553766841364047,
827579.7534678341,1.307256599661325,827579.7534678341,0.008472240650786172,
849185.6768704772,1.273817966753983,849185.6768704772,0.008393900079878877,
871355.6739157209,1.2412232748232996,871355.6739157209,0.008318657745664334,
894104.471077798,1.2094509878201687,894104.471077798,0.008246426565116859,
917447.1793003217,1.178480111747086,917447.1793003217,0.008177119894244599,
941399.3040337649,1.148290180694909,941399.3040337649,0.008110651668638344,
965976.7555349944,1.1188612432491793,965976.7555349944,0.008046936543432356,
991195.8594356966,1.0901738492557655,991195.8594356966,0.007985890030875948,
1017073.3675867188,1.0622090369357513,1017073.3675867188,0.007927428633964355,
1043626.4691855257,1.0349483203396017,1043626.4691855257,0.007871469974820565,
1070872.8021941665,1.0083736771308625,1070872.8021941665,0.007817932916750989,
1098830.4650553332,0.9824675366898215,1098830.4650553332,0.007766737679116504,
1127518.0287142945,0.9572127685277847,1127518.0287142945,0.007717805944362706,
1156954.5489546934,0.9325926710028605,1156954.5489546934,0.0076710609567396375,
1187159.579056395,0.9085909603283878,1187159.579056395,0.007626427612409263,
1218153.1827838013,0.8851917598653812,1218153.1827838013,0.007583832540789918,
1249955.947713255,0.8623795896906472,1249955.947713255,0.00754320417711936,
1282588.9989083875,0.8401393564324681,1282588.9989083875,0.007504472826334124,
