#GRM188R61E106KA73,,
#2023/01/18,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
99.99999999999999,3.6873439583676135,
104.57921513303334,3.577199455593378,
109.3681223784127,3.4653442985059755,
114.37632398907938,3.352178452986957,
119.61386192579457,3.2381228673402926,
125.09123799230618,3.1236129174256373,
130.8194348925486,3.009091381202029,
136.8099382520969,2.89500117068949,
143.0747596480305,2.7817780635002975,
149.6264606933842,2.6698436763546716,
156.47817822447783,2.559598909362904,
163.643650641628,2.451418063515092,
171.13724545605763,2.3456437970352755,
178.97398809823787,2.242583042065863,
187.1695920454257,2.14250395505209,
195.74049032880657,2.045633925745405,
204.70386848341695,1.9521586242101463,
214.07769900691426,1.8622220252928872,
223.88077739628844,1.7759273176374233,
234.132759834772,1.6933385806019101,
244.85420260451446,1.6144830976441078,
256.06660330404856,1.5393541684683616,
267.79244395319193,1.4679142835032937,
280.0552360718164,1.4000985317640675,
292.87956782286926,1.3358181253260009,
306.2911533141767,1.2749639389475287,
320.3168841578819,1.2174099803809129,
334.9848833909005,1.1630167243374894,
350.32456186451077,1.1116342599060802,
366.36667721614316,1.0631052166860389,
383.1433955416162,1.0172674484683246,
400.6883558914757,0.973956464670308,
419.03673772076064,0.9330076087881907,
438.22533142743896,0.8942579899023401,
458.2926121209498,0.8575481778994066,
479.2788167687661,0.8227236757831909,
501.22602487566456,0.7896361835112339,
524.1782428574726,0.7581446675279158,
548.1814922784702,0.728116248897394,
573.2839021293738,0.699426921007153,
599.5358053309263,0.6719621055508709,
626.9898396565933,0.6456170532243085,
655.7010532767296,0.6202970935793691,
685.7270151358366,0.5959177370334668,
717.1279303842347,0.5724046313321437,
749.9667610955984,0.5496933749496992,
784.3093525124082,0.5277291910425996,
820.224565072452,0.506466467609913,
857.7844124811066,0.4858681723347056,
897.0642061062426,0.4659051539616147,
938.142705985285,0.446555345715609,
981.1022787472119,0.4278028898436068,
1026.0290627661395,0.40963720550607524,
1073.0131408776467,0.39205202462550276,
1122.1487210041523,0.37504442163737506,
1173.5343250515148,0.3586138632039436,
1227.2729864556143,0.34276130277224376,
1283.4724567750195,0.327488342436697,
1342.245421743976,0.3127964810683159,
1403.7097272189235,0.2986864633552787,
1467.9886154715934,0.28515773958244167,
1535.2109723024755,0.2722080410048399,
1605.5115854701385,0.25983307087489577,
1679.031414954591,0.2480263068536324,
1755.9178755965756,0.2367789068953093,
1836.3251326795319,0.22607970788459628,
1920.4144110468878,0.2159153043865543,
2008.3543183744998,0.20627019382730502,
2100.3211832464335,0.19712697418075997,
2196.4994087119585,0.18846658067269667,
2297.081842032684,0.18026854898012468,
2402.270161361206,0.17251129374407306,
2512.2752801266033,0.16517239277522608,
2627.3177699376165,0.15822886897773086,
2747.628302851474,0.1516574636323567,
2873.448113895156,0.14543489617779887,
3005.0294847665045,0.13953810694624136,
3142.6362496850466,0.13394448040963053,
3286.544324406816,0.12863204736221734,
3437.0422594639017,0.12357966510752905,
3594.431818738024,0.1187671751543231,
3759.028584528241,0.11417553818820474,
3931.162590326006,0.10978694621382165,
4111.17898256636,0.10558491180214119,
4299.438712682124,0.10155433437520078,
4496.31926084876,0.09768154346228795,
4702.215392871039,0.0939543189072452,
4917.539951729213,0.09036188812905147,
5142.724685371758,0.08689490075867226,
5378.221112414542,0.08354538130290391,
5624.501427482223,0.0803066609146083,
5882.059448007166,0.07717328985775544,
6151.41160438433,0.07414093281141498,
6433.097975467465,0.07120624971544423,
6727.68337148293,0.06836676537274594,
7035.758466532444,0.0656207314390051,
7357.940982955574,0.06296698470681661,
7694.876929926739,0.060404805694087495,
8047.241898770236,0.057933781458632906,
8415.742417590522,0.055553676281470635,
8801.117367933934,0.05326431340738545,
9204.139466322391,0.051065470435236494,
9625.616813629718,0.048956790256011885,
10066.394515407255,0.04693770869399446,
10527.356376407623,0.045007399266626086,
11009.42667270443,0.04316473478850392,
11513.572004961123,0.04140826494275408,
12040.803236564994,0.03973620845603316,
12592.177520512547,0.03814645815661484,
13168.800419110281,0.036636596971576466,
13771.828120741138,0.035203922821839775,
14402.469758141457,0.033845480387595904,
15061.989832836824,0.03255809782099974,
15751.710750598017,0.03133842665487037,
16473.01547300104,0.030182983372092034,
17227.35029040763,0.029088191338678182,
18016.227721926643,0.028050422045110646,
18841.229548170857,0.02706603483033298,
19704.009982890246,0.026131414469339108,
20606.298989841154,0.025243006181243758,
21549.905751542057,0.024397347756224395,
22536.722296871103,0.02359109860612133,
23568.72729477912,0.022821065616744036,
24647.99002172501,0.022084225724147966,
25776.674510788394,0.021377745158008762,
26957.04389077916,0.020698995299523078,
28191.464924044165,0.020045565096416577,
29482.412752069788,0.0194152699711543,
30832.47585839592,0.018806157157442844,
32244.361258792436,0.018216507410762625,
33720.899929105,0.017644833065697498,
35265.052481653605,0.017089872459027034,
36879.915101565646,0.01655058080341764,
38568.72575494639,0.016026117680100448,
40334.870681335015,0.015515831415717721,
42181.89118346415,0.015019240711973846,
