#GRM155R61J224KE01,,
#2023/01/18,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
99.99999999999999,229.3057112557305,
104.57921513303334,218.74630251460562,
109.3681223784127,208.78554146816634,
114.37632398907938,199.39403130060165,
119.61386192579457,190.54115637992237,
125.09123799230618,182.19555579111093,
130.8194348925486,174.32554845031018,
136.8099382520969,166.89951066928225,
143.0747596480305,159.88620822113145,
149.6264606933842,153.25508575485154,
156.47817822447783,146.97651684438117,
163.643650641628,141.02201811639543,
171.13724545605763,135.36443078988574,
178.97398809823787,129.97807267591267,
187.1695920454257,124.83886324407636,
195.74049032880657,119.92442384147037,
204.70386848341695,115.2141545917658,
214.07769900691426,110.68928895022121,
223.88077739628844,106.33292640964834,
234.132759834772,102.1300434656131,
244.85420260451446,98.06748270723948,
256.06660330404856,94.13391982522252,
267.79244395319193,90.31980843260412,
280.0552360718164,86.61730288788966,
292.87956782286926,83.02015976622906,
306.2911533141767,79.52361922529343,
320.3168841578819,76.1242681987885,
334.9848833909005,72.81988807471555,
350.32456186451077,69.60929020332784,
366.36667721614316,66.49214317225031,
383.1433955416162,63.46879621662391,
400.6883558914757,60.54010335898165,
419.03673772076064,57.70725286498455,
438.22533142743896,54.97160634982189,
458.2926121209498,52.33455139273118,
479.2788167687661,49.797370848067494,
501.22602487566456,47.36113123181266,
524.1782428574726,45.02659167355131,
548.1814922784702,42.794134019835084,
573.2839021293738,40.663713815651754,
599.5358053309263,38.63483112619548,
626.9898396565933,36.70651953133844,
655.7010532767296,34.87735115118622,
685.7270151358366,33.14545525171162,
717.1279303842347,31.508547829453864,
749.9667610955984,29.963969568201765,
784.3093525124082,28.50872967393563,
820.224565072452,27.139553301902723,
857.7844124811066,25.852930561334897,
897.0642061062426,24.64516539385604,
938.142705985285,23.51242294611151,
981.1022787472119,22.450774377572007,
1026.0290627661395,21.456238344478667,
1073.0131408776467,20.524818671671838,
1122.1487210041523,19.65253795832915,
1173.5343250515148,18.835467059217038,
1227.2729864556143,18.069750539499015,
1283.4724567750195,17.35162832058639,
1342.245421743976,16.677453819709086,
1403.7097272189235,16.043708940896973,
1467.9886154715934,15.447016303879096,
1535.2109723024755,14.884149103932758,
1605.5115854701385,14.352038983870086,
1679.031414954591,13.84778227236346,
1755.9178755965756,13.36864490374336,
1836.3251326795319,12.912066286029788,
1920.4144110468878,12.475662328526532,
2008.3543183744998,12.057227780292537,
2100.3211832464335,11.654737968530357,
2196.4994087119585,11.26634996368911,
2297.081842032684,10.890403138701712,
2402.270161361206,10.525419035936983,
2512.2752801266033,10.170100410191473,
2627.3177699376165,9.823329282463336,
2747.628302851474,9.484163820051695,
2873.448113895156,9.151833856265661,
3005.0294847665045,8.8257348791667,
3142.6362496850466,8.505420353950518,
3286.544324406816,8.190592296824843,
3437.0422594639017,7.881090087181867,
3594.431818738024,7.576877585460701,
3759.028584528241,7.278028710925095,
3931.162590326006,6.9847117201887725,
4111.17898256636,6.697172506772788,
4299.438712682124,6.41571730755285,
4496.31926084876,6.140695247834511,
4702.215392871039,5.87248117876445,
4917.539951729213,5.611459256706531,
5142.724685371758,5.358007684211235,
5378.221112414542,5.112484978793108,
5624.501427482223,4.875218063300743,
5882.059448007166,4.646492386126514,
6151.41160438433,4.42654418749601,
6433.097975467465,4.215554936299237,
6727.68337148293,4.013647876461624,
7035.758466532444,3.82088654764455,
7357.940982955574,3.637275085600237,
7694.876929926739,3.462760064673325,
8047.241898770236,3.2972336191179834,
8415.742417590522,3.140537570136669,
8801.117367933934,2.992468289917297,
9204.139466322391,2.8527820498499024,
9625.616813629718,2.7212006246513267,
10066.394515407255,2.5974169544055252,
10527.356376407623,2.4811006998470364,
11009.42667270443,2.371903560264316,
11513.572004961123,2.2694642563190373,
12040.803236564994,2.173413110498227,
12592.177520512547,2.0833761849231163,
13168.800419110281,1.9989789593253418,
13771.828120741138,1.919849550983875,
14402.469758141457,1.8456214933775612,
15061.989832836824,1.7759361014907022,
15751.710750598017,1.7104444594807215,
16473.01547300104,1.6488090711912338,
17227.35029040763,1.5907052161994883,
18016.227721926643,1.5358220541388459,
18841.229548170857,1.4838635183116047,
19704.009982890246,1.4345490364420663,
20606.298989841154,1.3876141121082837,
21549.905751542057,1.3428107951924204,
22536.722296871103,1.2999080638364948,
23568.72729477912,1.258692134104734,
24647.99002172501,1.2189667070568722,
25776.674510788394,1.180553156463735,
26957.04389077916,1.1432906542037544,
28191.464924044165,1.1070362247453527,
29482.412752069788,1.071664715346331,
30832.47585839592,1.0370686649936365,
32244.361258792436,1.0031580529588957,
33720.899929105,0.9698599074092404,
35265.052481653605,0.937117755965847,
36879.915101565646,0.9048909035137138,
38568.72575494639,0.8731535278637803,
40334.870681335015,0.8418935908243086,
42181.89118346415,0.8111115704579791,
44113.490727937,0.7808190292435743,
46133.54237105995,0.7510370418702654,
48246.09652471983,0.7217945147564855,
50455.38907787768,0.6931264364022556,
52765.84988996271,0.6650721027379172,
55182.11167319754,0.637673364262107,
57709.01928166397,0.6109729417147648,
60351.639425735055,0.5850128542915947,
63115.27083135204,0.5598329991984772,
66005.4548645163,0.5354699141013131,
69027.98664229971,0.5119557453406121,
72188.92665265215,0.4893174353310264,
75494.61290630474,0.4675761330495522,
78951.67364513518,0.446746822572479,
82567.04063247632,0.42683815677955644,
86347.96305201648,0.4078524769860425,
90302.02204316044,0.3897859946066842,
94437.14590199596,0.3726291080591542,
98761.62597834493,0.35636682689735544,
103284.13330077511,0.34097927543906376,
108013.73596290655,0.32644224965669444,
112959.91730587467,0.31272780353768065,
118132.59493340722,0.2998048441894973,
123542.14059764279,0.28763971838120195,
129199.40099556338,0.27619677673268744,
135115.71951774065,0.2654389051852782,
141302.95899300394,0.25532801656305065,
147773.52547463533,0.24582549786149735,
154540.39311578672,0.2368926113191054,
161617.13018399404,0.22849084931377825,
169017.92626695373,0.22058224468234972,
176757.6207241092,0.21312963920985786,
184851.7324410973,0.2060969138102823,
193316.49094671433,0.19944918436369513,
202168.86895479533,0.1931529673304947,
211426.61639625567,0.18717631917576863,
221108.2960095334,0.18148895334841805,
231233.3205607941,0.17606233811076608,
241821.99176852946,0.17086977794331318,
252895.54101059664,0.16588648059314476,
264476.17189532047,0.16108961113011477,
276587.1047820182,0.1564583336596956,
289252.62334021524,0.1519738406539426,
302498.1232409063,0.14761936924200825,
316350.1630774958,0.1433802032889677,
330836.51761851617,0.139243659724661,
345986.2334989038,0.13519905739686686,
361829.6874614976,0.13123766674179993,
378398.6472655419,0.12735263880473388,
395726.33538431907,0.12353891260469407,
413847.4956196361,0.11979310050227548,
432798.46276672994,0.11611335206256045,
452617.23546927935,0.11249919785166743,
473343.5524106058,0.1089513755965745,
495018.9719938298,0.10547164209496118,
517686.9556707574,0.10206257510406425,
541392.9550865723,0.09872737009017582,
566184.503215073,0.0954696371228655,
592111.3096671875,0.09229320331093467,
619225.3603638692,0.08920192598689028,
647581.0217732317,0.08619952136703606,
677235.1499209236,0.08328941268420115,
708247.2043923237,0.08047460086933708,
740679.3675551426,0.0777575598198514,
774596.6692414834,0.07514015721492133,
810067.1171393609,0.07262360079645211,
847161.8331551341,0.07020840909398104,
885955.1960202559,0.06789440478261383,
