#GC343DD7LP334KX18,,
#2023/01/18,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
99999.99999999999,0.01761143295680256,
102610.7361027269,0.01724754450899702,
105289.63163543465,0.016890488639143997,
108038.46606096912,0.016540081602984282,
110859.0652992552,0.016196167475412502,
113753.30294016848,0.0158586160447846,
116723.10148807177,0.015527320674351685,
119770.43363884346,0.01520219614274868,
122897.32359024532,0.014883176476534088,
126105.84838650099,0.014570212788584707,
129398.13929797744,0.014263271136690387,
132776.3832368866,0.013962330416945863,
136242.82420994705,0.013667380306489434,
139799.7648089709,0.013378419269794425,
143449.567740366,0.013095452642088298,
147194.65739456945,0.012818490802578532,
151037.52145645468,0.012547547449016936,
154980.71255778224,0.012282637983785316,
159026.84997279174,0.012023778020158455,
163178.62135806077,0.011770982015742629,
167438.78453778772,0.011524262038344403,
171810.1693356829,0.01128362666773633,
176295.6794546858,0.011049080034999785,
180898.294405757,0.010820620999378597,
185621.0714870253,0.010598242460911558,
190467.14781460565,0.010381930805558317,
195439.74240643583,0.01017166547811858,
200542.1583205171,0.009967418676993066,
205777.78484897866,0.009769155163760843,
211150.0997694226,0.009576832179661493,
216662.67165504684,0.00939039946037636,
222319.16224507784,0.009209799339999731,
228123.3288770901,0.00903496693477167,
234079.0269828268,0.008865830397000195,
240190.21264917936,0.008702311229617664,
246460.945246028,0.008544324651976982,
252895.39012268803,0.008391780007784724,
259497.8213747532,0.008244581206464076,
266272.6246831737,0.008102627189729724,
273224.30022745585,0.007965812415713312,
280357.46567491704,0.007834027353588513,
287676.85924798227,0.0077071589822894455,
295187.34287156025,0.007585091287579397,
302893.9054025884,0.007467705752396674,
310801.6659438933,0.00735488183606451,
318915.8772445672,0.0072464974385967095,
327241.92918911943,0.007142429346946828,
335785.3523777198,0.007042553660632709,
344551.82179991365,0.006946746194712771,
353547.16060424736,0.00685488285859298,
362777.3439663084,0.006766840009601019,
372248.50305775064,0.006682494780675924,
381966.9291189398,0.006601725381887713,
391939.0776379254,0.006524411375821937,
402171.5726385136,0.006450433927141904,
412671.21108029195,0.006379676026877113,
423444.9673735255,0.006312022692183269,
434499.9980119262,0.006247361142480509,
445843.64632637135,0.006185580953004307,
457483.44736272807,0.006126574186901228,
469427.1328870264,0.006070235507073046,
481682.6365213039,0.006016462269019874,
494258.0990135325,0.005965154595959288,
507161.87364513054,0.005916215437506993,
520402.53177965025,0.005869550613197519,
533988.8685563265,0.005825068842103423,
547929.9087322695,0.0057826817597810805,
562234.9126771817,0.005742303923731704,
576913.38252458,0.005703852808520329,
591975.068483612,0.005667248791644336,
607429.975315656,0.0056324151311878965,
623288.3689800071,0.005599277936241703,
639560.783453066,0.0055677661310081054,
656258.0277255583,0.005537811413452828,
673391.1929824331,0.005509348209305173,
690971.6599702089,0.005482313622150628,
709011.1065566628,0.00545664738030323,
727521.5154878813,0.0054322917810901775,
746515.1823478293,0.005409191633128616,
766004.7237257219,0.005387294197124479,
786003.0855966229,0.005366549125675715,
806523.5519208414,0.005346908402517359,
827579.7534678341,0.005328326281604062,
849185.6768704772,0.00531075922638632,
871355.6739157209,0.005294165849600349,
894104.471077798,0.005278506853857934,
917447.1793003217,0.005263744973291354,
941399.3040337649,0.005249844916480449,
965976.7555349944,0.00523677331086275,
991195.8594356966,0.0052244986488041685,
1017073.3675867188,0.005212991235486546,
1043626.4691855257,0.005202223138749301,
1070872.8021941665,0.005192168141005367,
1098830.4650553332,0.0051828016933365,
1127518.0287142945,0.005174100871859778,
1156954.5489546934,0.005166044336445487,
1187159.579056395,0.005158612291856585,
1218153.1827838013,0.0051517864513713285,
1249955.947713255,0.00514555000294357,
1282588.9989083875,0.0051398875779492875,
1316074.0129524926,0.00513478522256326,
1350433.23234725,0.005130230371806202,
1385689.480287362,0.0051262118263002586,
1421866.175820913,0.0051227197317691205,
1458987.3494055322,0.005119745561318451,
1497077.6588706812,0.0051172821005326385,
1536162.4057966769,0.0051153234354249025,
1576267.5523213292,0.005113864943279667,
1617419.7383853518,0.005112903286428793,
1659646.29942801,0.0051124364090065115,
1702975.284544748,0.005112463536732087,
1747435.4751188746,0.005112985179773874,
1793056.4039396606,0.0051140031387539526,
1839868.3748195693,0.005115520513958631,
1887902.4827236389,0.005117541717826932,
1937190.6344243828,0.0051200724907968075,
1987765.5696959447,0.005123119920597023,
2039660.8830615724,0.005126692465081819,
2092911.0461088594,0.005130799978715364,
2147551.430387583,0.005135453742823729,
2203618.33090534,0.005140666499743963,
2261148.9902365943,0.005146452491012509,
2320181.6232611462,0.005152827499749159,
2380755.4425484603,0.005159808897407812,
2442910.684404709,0.005167415695081831,
2506688.6355998362,0.005175668599569757,
2572131.660792394,0.005184590074426819,
2639283.2306703706,0.005194204406249365,
2708187.9508266994,0.005204537776462903,
2778891.5913886325,0.005215618338910733,
2851441.1174206585,0.005227476303569037,
2925884.720121159,0.0052401440267462,
3002271.8488335325,0.005253656108159856,
3080653.243893036,0.005268049495324807,
3161080.97033118,0.00528336359572926,
3243608.452460047,0.0052996403973268,
3328290.509359523,0.005316924597927434,
3415183.391291006,0.005335263744134403,
3504344.817061772,0.005354708380545383,
3595834.0123648434,0.00537531221001809,
3689711.7491197856,0.0053971322658935734,
3786040.3858406134,0.005420229097177124,
3884883.9090575757,0.005444666967799093,
3986307.975820371,0.005470514071219237,
4090379.957310996,0.005497842761801455,
4197168.98359522,0.005526729804575412,
4306745.989542398,0.005557256645222306,
4419183.7619441245,0.00558950970238018,
4534556.987863045,0.005623580684666801,
4652942.304243912,0.005659566935174543,
4774418.348819862,0.005697571806612476,
4899065.81234772,0.0057377050707698805,
5026967.4922070345,0.005780083366569099,
5158208.34739843,0.005824830691684568,
5292875.554977833,0.005872078943554892,
5431058.567964047,0.005921968516637611,
5572849.17475813,0.005974648963992047,
5718341.560114059,0.006030279732774663,
5867632.367701194,0.00608903098505734,
6020820.7643000595,0.006151084517612832,
6178008.505674121,0.006216634797056508,
6339300.0041612955,0.006285890130121901,
6504802.398030102,0.006359073993050341,
6674625.622646518,0.006436426549313591,
6848882.483498813,0.006518206391452059,
7027688.731128855,0.0066046925510797865,
7211163.138019708,0.006696186831582075,
7399427.577490523,0.00679301653138018,
7592607.1046512,0.006895537642754139,
7790830.039470539,0.007004138633306252,
7994228.052013091,0.007119244945856957,
8202936.249901319,0.007241324390144589,
8417093.268061165,0.007370893649268593,
8636841.360810637,0.007508526189727238,
8862326.49635257,0.007654861952295886,
9093698.453734381,0.007810619320619788,
9331110.922339143,0.0079766100278568,
9574721.603974145,0.008153757887359427,
9824692.317624696,0.008343122548308298,
1.0081189106942758E7,0.008545929921858224,
1.0344382350541888E7,0.008763611559024645,
1.0614446875171598E7,0.008997856182465347,
1.0891562071846472E7,0.009250677927715053,
1.117591201500708E7,0.009524507869207492,
1.1467685584791863E7,0.0098223184710235,
1.1767076592501236E7,0.01014779533619251,
1.2074283909337193E7,0.010505578083921078,
1.2389511598504009E7,0.010901604175764936,
1.2712969050757686E7,0.011343609245966751,
1.3044871123494318E7,0.011841870787671623,
1.338543828346958E7,0.012410339777574157,
1.3734896753244353E7,0.013068407939562961,
1.4093478661453571E7,0.013843748603376775,
1.4461422196998253E7,0.014777032681333128,
1.4838971767263053E7,0.015930042563677176,
1.5226378160464441E7,0.01740019405541837,
1.5623898712237412E7,0.019347657628782038,
1.6031797476571284E7,0.022048249996601932,
1.6450345401208192E7,0.026000385317380807,
1.6879820507620815E7,0.03214216471267269,
1.7320508075688772E7,0.04223762718025536,
1.7772700833196502E7,0.059026263226217485,
1.823669915027842E7,0.0823492255065708,
1.8712811238940425E7,0.0949136452770015,
1.920135335779059E7,0.07993057464483211,
1.970265002211459E7,0.0585779737918474,
2.0217034219435878E7,0.04456088170855024,
2.0744847630703334E7,0.03683817910030887,
2.128644085725381E7,0.032805976926473614,
2.1842173653699733E7,0.030913235248867924,
2.2412415166897193E7,0.0303754457371843,
2.299754418115241E7,0.03082254254974644,
2.3597949369830348E7,0.03211667807831467,
2.421402955353171E7,0.03427418850826077,
2.484619396501074E7,0.03744284212404922,
2.549486252100882E7,0.04190838186695465,
2.6160466101185407E7,0.04810342840743751,
2.6843446834330678E7,0.05654687360808926,
2.7544258392050866E7,0.06750569828464344,
2.826336629012052E7,0.07998859245751741,
2.9001248197702657E7,0.0902617158905435,
2.9758394254641507E7,0.09286051928344188,
3.053530739703926E7,0.08635904938079407,
3.1332503691332396E7,0.07531877350787954,
3.215051267709027E7,0.06461609097152411,
3.298987771876285E7,0.05622104904382485,
3.385115636661203E7,0.05019935027358782,
3.4734920727065735E7,0.0460441451381585,
3.56417578427408E7,0.043238098266830026,
3.657227008238775E7,0.041386022286812985,
3.7527075541015424E7,0.040210690161484326,
3.8506808450462334E7,0.03952211706613605,
3.951211960068644E7,0.0391899553258154,
4.0543676772054225E7,0.0391237124964799,
4.160216517891513E7,0.039259521840573394,
4.268828792475718E7,0.03955147144103245,
4.380276646924481E7,0.03996592264927954,
4.494634110745057E7,0.04047775497104805,
4.611977146159754E7,0.04106785265516219,
4.732383698564064E7,0.04172139834651276,
4.855933748302037E7,0.04242669774322866,
4.982709363793462E7,0.043174358510692554,
5.11279475604797E7,0.043956708967554964,
5.246276334602446E7,0.04476738139426458,
5.3832427649187274E7,0.04560100994031876,
5.523785027279898E7,0.04645300935927132,
5.667996477224115E7,0.0473194114544069,
5.815972907556299E7,0.048196743196112515,
5.967812611978684E7,0.049081935237405595,
6.123616450382706E7,0.04997225280449383,
6.283487915845369E7,0.05086524318459149,
6.447533203374823E7,0.05175869560354563,
6.615861280450639E7,0.052650610397353,
