#GRM155R71C223KA01,,
#2023/01/18,,
#z,,
#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],
11513.572004961123,667.2924488186503,
12040.803236564994,638.1791816266465,
12592.177520512547,610.334973784792,
13168.800419110281,583.7044041872816,
13771.828120741138,558.2345072926508,
14402.469758141457,533.8746633094113,
15061.989832836824,510.57649243460105,
15751.710750598017,488.29375316277736,
16473.01547300104,466.98224468067076,
17227.35029040763,446.59971335099635,
18016.227721926643,427.10576327008187,
18841.229548170857,408.46177086067786,
19704.009982890246,390.6308034359493,
20606.298989841154,373.5775416455377,
21549.905751542057,357.26820569147657,
22536.722296871103,341.67048518203654,
23568.72729477912,326.75347247608596,
24647.99002172501,312.48759935966154,
25776.674510788394,298.84457689018404,
26957.04389077916,285.79733824174775,
28191.464924044165,273.3199843867106,
29482.412752069788,261.3877324537004,
30832.47585839592,249.97686660945007,
32244.361258792436,239.06469132085263,
33720.899929105,228.62948686362606,
35265.052481653605,218.65046695435473,
36879.915101565646,209.10773839293316,
38568.72575494639,199.98226261208941,
40334.870681335015,191.25581903937342,
42181.89118346415,182.91097018446163,
44113.490727937,174.93102837067002,
46133.54237105995,167.30002403407465,
48246.09652471983,160.00267551659462,
50455.38907787768,153.0243602808924,
52765.84988996271,146.35108747516145,
55182.11167319754,139.9694717750759,
57709.01928166397,133.86670842876464,
60351.639425735055,128.03054942904797,
63115.27083135204,122.44928073584441,
66005.4548645163,117.11170047110207,
69027.98664229971,112.00709800927108,
72188.92665265215,107.12523388858197,
75494.61290630474,102.45632047244607,
78951.67364513518,97.99100329620694,
82567.04063247632,93.72034304211958,
86347.96305201648,89.63579809449311,
90302.02204316044,85.7292076369367,
94437.14590199596,81.99277526401312,
98761.62597834493,78.41905308968605,
103284.13330077511,75.0009263441382,
108013.73596290655,71.73159845829682,
112959.91730587467,68.60457664133638,
118132.59493340722,65.61365796030563,
123542.14059764279,62.752915932803695,
129199.40099556338,60.016687643435155,
135115.71951774065,57.3995613928718,
141302.95899300394,54.8963648851157,
147773.52547463533,52.50215395441098,
154540.39311578672,50.21220182863007,
161617.13018399404,48.02198892125286,
169017.92626695373,45.927193139614204,
176757.6207241092,43.92368069316887,
184851.7324410973,42.00749738229135,
193316.49094671433,40.17486034568596,
202168.86895479533,38.422150242850925,
211426.61639625567,36.74590384718494,
221108.2960095334,35.1428070251687,
231233.3205607941,33.609688077496465,
241821.99176852946,32.143511418953835,
252895.54101059664,30.74137157512552,
264476.17189532047,29.400487475552705,
276587.1047820182,28.11819702464671,
289252.62334021524,26.891951933411672,
302498.1232409063,25.71931279676061,
316350.1630774958,24.59794440286455,
330836.51761851617,23.5256112625012,
345986.2334989038,22.50017334773067,
361829.6874614976,21.51958203038665,
378398.6472655419,20.581876211811583,
395726.33538431907,19.685178635965645,
413847.4956196361,18.82769237849689,
432798.46276672994,18.007697504572715,
452617.23546927935,17.223547888256213,
473343.5524106058,16.47366818598837,
495018.9719938298,15.756550956347317,
517686.9556707574,15.070753917751142,
541392.9550865723,14.414897335215723,
566184.503215073,13.787661526748042,
592111.3096671875,13.187784479526293,
619225.3603638692,12.614059565770251,
647581.0217732317,12.065333348204234,
677235.1499209236,11.540503465313925,
708247.2043923237,11.038516587222077,
740679.3675551426,10.558366433955818,
774596.6692414834,10.099091849114762,
810067.1171393609,9.659774923412778,
847161.8331551341,9.239539164167924,
885955.1960202559,8.837547708453856,
926524.9904283119,8.453001579191959,
968952.5630013399,8.085137984858532,
1013322.9853982129,7.733228664617842,
1059725.224892072,7.3965782815153736,
1108252.3227589026,7.074522866841258,
1159001.5808348707,6.766428318908766,
1212074.756616558,6.471688959309206,
1267578.267295219,6.189726149258697,
1325623.403134245,5.9199869680043005,
1386326.5506175985,5.661942954482487,
1449809.4258167401,5.415088912589048,
1516199.318443883,5.178941779593503,
1585629.3470810154,4.953039556462078,
1658238.7260963656,4.736940298183515,
1734173.0447835915,4.530221161642998,
1813584.5592833052,4.332477508176403,
1896632.497872364,4.143322057656934,
1983483.3802329618,3.9623840908139596,
2074311.3513417928,3.789308696442451,
2169298.5306486627,3.6237560602154244,
2268635.3772447985,3.465400791939775,
2372521.071752938,3.3139312882809477,
2481163.9157050513,3.1690491282046405,
2594781.7492083823,3.030468498630431,
2713602.387737317,2.8979156480488246,
2837864.0789269414,2.7711283661099126,
2967815.9802840785,2.649855487441008,
3103718.658773832,2.5338564181850454,
3245844.61328318,2.422900683968445,
3394478.8210093947,2.3167674982016173,
3549919.308868665,2.2152453497864615,
3712477.751070856,2.118131609449954,
3882480.0940583847,2.0252321540407068,
4060267.2100625183,1.936361008214185,
4246195.5805872865,1.8513400029916856,
4440638.011191738,1.7699984507069926,
4643984.379003457,1.6921728358537285,
4856642.414462493,1.6177065213158341,
5079038.5188628705,1.5464494694067614,
5311618.619331236,1.478257977062829,
5554849.062956665,1.4129944244394035,
5809217.551864741,1.3505270360519899,
6075234.121110557,1.2907296534979742,
6353432.161351662,1.233481518698522,
6644369.48835128,1.178667066525507,
6948629.461456517,1.1261757256352865,
7266822.153293941,1.075901726329033,
7599585.57302819,1.027743914303734,
7947586.945636123,0.9816055692519077,
8311524.049761669,0.93739422740931,
8692126.616834069,0.895021507332534,
9090157.794254545,0.8544029384021726,
9506415.67558567,0.8154577917787473,
9941734.90081113,0.778108913773295,
