#GR321BD7LP223KW01,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
157.5,-37.73431691642053,
159.75,-38.28841546726949,
162.0,-38.83570436043154,
164.25,-39.376170595802506,
166.5,-39.90980886576592,
168.75,-40.436621130437004,
171.0,-40.956616208106475,
173.25,-41.469809380666256,
175.5,-41.97622201377108,
177.75,-42.47588119146677,
180.0,-42.96881936499356,
182.25,-43.45507401545577,
184.5,-43.93468733003323,
186.75,-44.40770589139711,
189.0,-44.87418037998252,
191.25,-45.33416528876152,
193.5,-45.78771865015436,
195.75,-46.2349017747118,
198.0,-46.67577900119853,
200.25,-47.11041745770677,
202.5,-47.53888683342862,
204.75,-47.961259160717326,
207.0,-48.3776086070699,
209.25,-48.78801127666683,
211.5,-49.192545021109225,
213.75,-49.59128925899823,
216.0,-49.984324804008274,
218.25,-50.371733701110834,
220.5,-50.75359907061372,
222.75,-51.130004959687334,
225.0,-51.50103620105758,
227.25,-51.86677827855337,
229.5,-52.227317199204506,
231.75,-52.58273937159539,
234.0,-52.93313149018787,
236.25,-53.278580425336216,
238.5,-53.61917311872575,
240.75,-53.95499648397647,
243.0,-54.286137312161266,
245.25,-54.612682181998615,
247.5,-54.93471737448744,
249.75,-55.2523287917621,
252.0,-55.565601879954116,
254.25,-55.87462155585524,
256.5,-56.17947213718658,
258.75,-56.48023727628668,
261.0,-56.77699989703919,
263.25,-57.06984213487025,
265.5,-57.358845279653224,
267.75,-57.64408972136648,
270.0,-57.92565489835755,
272.25,-58.203619248075626,
274.5,-58.47806016013977,
276.75,-58.74905393161958,
279.0,-59.01667572441055,
281.25,-59.28099952459351,
283.5,-59.542098103674746,
285.75,-59.80004298160807,
288.0,-60.054904391508536,
290.25,-60.30675124597069,
292.5,-60.55565110491251,
294.75,-60.8016701448692,
297.0,-61.0448731296676,
299.25,-61.2853233824173,
301.5,-61.5230827587566,
303.75,-61.75821162129955,
306.0,-61.99076881523198,
308.25,-62.2208116450083,
310.5,-62.44839585210672,
312.75,-62.673575593801466,
315.0,-62.89640342291578,
317.25,-63.11693026852062,
319.5,-63.335205417549204,
321.75,-63.551276497297195,
324.0,-63.76518945878298,
326.25,-63.976988560942914,
328.5,-64.18671635563955,
330.75,-64.39441367346082,
333.0,-64.60011961029136,
335.25,-64.80387151463627,
337.5,-65.00570497568037,
339.75,-65.20565381206484,
342.0,-65.40375006136507,
344.25,-65.60002397025242,
346.5,-65.79450398532352,
348.75,-65.98721674457965,
351.0,-66.178187069539,
353.25,-66.36743795796272,
355.5,-66.5549905771758,
357.75,-66.7408642579625,
360.0,-66.92507648901338,
362.25,-67.10764291190085,
364.5,-67.28857731655825,
366.75,-67.46789163723297,
369.0,-67.64559594888632,
371.25,-67.82169846400544,
373.5,-67.99620552979331,
375.75,-68.16912162569889,
378.0,-68.34044936124565,
380.25,-68.51018947411458,
382.5,-68.67834082843353,
384.75,-68.84490041322108,
387.0,-69.00986334092947,
389.25,-69.17322284602669,
391.5,-69.3349702835542,
393.75,-69.49509512759046,
396.0,-69.65358496954843,
398.25,-69.81042551622778,
400.5,-69.96560058753816,
402.75,-70.11909211380602,
405.0,-70.27088013256875,
407.25,-70.42094278475746,
409.5,-70.56925631016125,
411.75,-70.71579504206001,
414.0,-70.86053140090782,
416.25,-71.00343588693995,
418.5,-71.1444770715696,
420.75,-71.28362158743593,
423.0,-71.42083411695246,
425.25,-71.5560773792014,
427.5,-71.6893121150078,
429.75,-71.82049707001968,
432.0,-71.94958897561163,
434.25,-72.07654252741858,
436.5,-72.2013103612961,
438.75,-72.32384302649444,
441.0,-72.44408895581908,
443.25,-72.56199443254181,
445.5,-72.67750355381149,
447.75,-72.79055819029992,
450.0,-72.90109794180681,
