#GC331CD7LP683KX19,,
#2023/01/18,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
99999.99999999999,0.08529146346514047,
102610.7361027269,0.08310532651380158,
105289.63163543465,0.08097778458455354,
108038.46606096912,0.07890871782908072,
110859.0652992552,0.07689784683561401,
113753.30294016848,0.07494474293556143,
116723.10148807177,0.07304883878263528,
119770.43363884346,0.07120943909352505,
122897.32359024532,0.06942573144840672,
126105.84838650099,0.06769679705908487,
129398.13929797744,0.06602162142259807,
132776.3832368866,0.06439910478804022,
136242.82420994705,0.06282807237420336,
139799.7648089709,0.06130728428520287,
143449.567740366,0.05983544508029127,
147194.65739456945,0.05841121296261039,
151037.52145645468,0.057033208559474295,
154980.71255778224,0.05570002327394817,
159026.84997279174,0.05441022719389275,
163178.62135806077,0.053162376550266004,
167438.78453778772,0.051955020721379246,
171810.1693356829,0.05078670878388979,
176295.6794546858,0.049655995614767724,
180898.294405757,0.04856144755113286,
185621.0714870253,0.04750164761702309,
190467.14781460565,0.04647520032758995,
195439.74240643583,0.045480736082308924,
200542.1583205171,0.04451691515925356,
205777.78484897866,0.043582431322738875,
211150.0997694226,0.04267601505644992,
216662.67165504684,0.0417964364338053,
222319.16224507784,0.04094250763678106,
228123.3288770901,0.040113085133717676,
234079.0269828268,0.03930707152598772,
240190.21264917936,0.038523417072669895,
246460.945246028,0.03776112090180878,
252895.39012268803,0.03701923191632228,
259497.8213747532,0.03629684940230636,
266272.6246831737,0.03559312334734044,
273224.30022745585,0.03490725447650136,
280357.46567491704,0.03423849401409943,
287676.85924798227,0.03358614317971829,
295187.34287156025,0.03294955242793319,
302893.9054025884,0.03232812044210968,
310801.6659438933,0.031721292893878976,
318915.8772445672,0.03112856098128288,
327241.92918911943,0.03054945976004753,
335785.3523777198,0.029983566284043223,
344551.82179991365,0.029430497572532046,
353547.16060424736,0.028889908423378168,
362777.3439663084,0.02836148909281389,
372248.50305775064,0.027844962863652914,
381966.9291189398,0.027340083524908958,
391939.0776379254,0.02684663278659985,
402171.5726385136,0.02636441765402729,
412671.21108029195,0.02589326778600509,
423444.9673735255,0.02543303286134373,
434499.9980119262,0.024983579977354554,
445843.64632637135,0.024544791103243174,
457483.44736272807,0.02411656061001271,
469427.1328870264,0.02369879289691937,
481682.6365213039,0.023291400132656574,
494258.0990135325,0.022894300127330038,
507161.87364513054,0.022507414348962813,
520402.53177965025,0.022130666095811245,
533988.8685563265,0.02176397883321798,
547929.9087322695,0.02140727470114414,
562234.9126771817,0.021060473195965157,
576913.38252458,0.02072349002763099,
591975.068483612,0.02039623615093761,
607429.975315656,0.020078616967467294,
623288.3689800071,0.01977053169277314,
639560.783453066,0.01947187288162371,
656258.0277255583,0.019182526102622523,
673391.1929824331,0.01890236975227005,
690971.6599702089,0.018631274997555708,
709011.1065566628,0.01836910583544744,
727521.5154878813,0.01811571925718198,
746515.1823478293,0.01787096550502445,
766004.7237257219,0.01763468840915846,
786003.0855966229,0.017406725792550835,
806523.5519208414,0.01718690993199131,
827579.7534678341,0.016975068064011303,
849185.6768704772,0.016771022925009284,
871355.6739157209,0.016574593315628168,
894104.471077798,0.016385594680218066,
917447.1793003217,0.016203839693054042,
941399.3040337649,0.01602913884384035,
965976.7555349944,0.01586130101590083,
991195.8594356966,0.01570013405131582,
1017073.3675867188,0.015545445298104118,
1043626.4691855257,0.015397042135348685,
1070872.8021941665,0.015254732472926621,
1098830.4650553332,0.015118325223210797,
1127518.0287142945,0.014987630742764073,
1156954.5489546934,0.014862461242642365,
1187159.579056395,0.01474263116645719,
1218153.1827838013,0.01462795753582311,
1249955.947713255,0.014518260263232625,
1282588.9989083875,0.014413362432759758,
1316074.0129524926,0.014313090549298664,
1350433.23234725,0.014217274757299683,
1385689.480287362,0.014125749030171178,
1421866.175820913,0.014038351331681732,
1458987.3494055322,0.01395492375082248,
1497077.6588706812,0.01387531261167971,
1536162.4057966769,0.01379936855992876,
1576267.5523213292,0.013726946627592693,
1617419.7383853518,0.013657906277718778,
1659646.29942801,0.013592111430616206,
1702975.284544748,0.013529430473270588,
1747435.4751188746,0.013469736253511362,
1793056.4039396606,0.013412906060455356,
1839868.3748195693,0.013358821592690253,
1887902.4827236389,0.013307368915594232,
1937190.6344243828,0.013258438409116571,
1987765.5696959447,0.01321192470726923,
2039660.8830615724,0.013167726630503114,
2092911.0461088594,0.013125747112065574,
2147551.430387583,0.013085893119359563,
2203618.33090534,0.013048075571249818,
2261148.9902365943,0.013012209252188035,
2320181.6232611462,0.012978212723959097,
2380755.4425484603,0.01294600823578248,
2442910.684404709,0.012915521633438868,
2506688.6355998362,0.012886682268031299,
2572131.660792394,0.012859422904933073,
2639283.2306703706,0.012833679633421328,
2708187.9508266994,0.0128093917774453,
2778891.5913886325,0.01278650180793292,
2851441.1174206585,0.012764955256996634,
2925884.720121159,0.012744700634360947,
3002271.8488335325,0.012725689346299026,
3080653.243893036,0.012707875617333738,
3161080.97033118,0.01269121641492993,
3243608.452460047,0.012675671377379273,
3328290.509359523,0.012661202745056187,
3415183.391291006,0.012647775295203582,
3504344.817061772,0.012635356280389996,
3595834.0123648434,0.01262391537076476,
3689711.7491197856,0.012613424600225506,
3786040.3858406134,0.012603858316602157,
3884883.9090575757,0.012595193135953468,
3986307.975820371,0.01258740790106595,
4090379.957310996,0.012580483644240924,
4197168.98359522,0.0125744035544531,
4306745.989542398,0.012569152948963096,
