#GRM21BC71E106KE11,,#GRM21BC71E106KE11,,
#2023/01/18,,#2023/01/18,,
#z,,#r,,
#DC0V 25degC,,#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],Frequency[Hz],Resistance[ohm],
99.99999999999999,217.20066772295436,99.99999999999999,3.0097893107038,
104.57921513303334,207.775282889173,104.57921513303334,2.8709079342123762,
109.3681223784127,198.7578443544046,109.3681223784127,2.738741636362919,
114.37632398907938,190.13088610701638,114.37632398907938,2.613029784188404,
119.61386192579457,181.87767526885796,119.61386192579457,2.4934909647031067,
125.09123799230618,173.9821786787087,125.09123799230618,2.3798298288767104,
130.8194348925486,166.42903178718745,130.8194348925486,2.2717433997382295,
136.8099382520969,159.20350966989446,136.8099382520969,2.168926778800613,
143.0747596480305,152.29149997271253,143.0747596480305,2.0710782057564403,
149.6264606933842,145.67947761173943,149.6264606933842,1.9779034437158045,
156.47817822447783,139.35448105933187,156.47817822447783,1.889119476645099,
163.643650641628,133.3040900566121,163.643650641628,1.8044575177586668,
171.13724545605763,127.51640460120473,171.13724545605763,1.723665338134368,
178.97398809823787,121.9800250669635,178.97398809823787,1.6465089344170887,
187.1695920454257,116.68403332022481,187.1695920454257,1.5727735636612004,
195.74049032880657,111.6179747051045,195.74049032880657,1.5022641824674665,
204.70386848341695,106.77184077898683,204.70386848341695,1.4348053366717224,
214.07769900691426,102.13605268909514,214.07769900691426,1.370240556796578,
223.88077739628844,97.70144509221257,223.88077739628844,1.3084313229129554,
234.132759834772,93.45925053238781,234.132759834772,1.2492556699600295,
244.85420260451446,89.40108420574998,244.85420260451446,1.1926065103460102,
256.06660330404856,85.51892905703474,256.06660330404856,1.1383897542188885,
267.79244395319193,81.80512116857514,267.79244395319193,1.0865223086865532,
280.0552360718164,78.2523354186179,280.0552360718164,1.0369300351943433,
292.87956782286926,74.85357140111486,292.87956782286926,0.9895457391878498,
306.2911533141767,71.6021396128283,306.2911533141767,0.9443072583093941,
320.3168841578819,68.49164792499312,320.3168841578819,0.9011557051507594,
334.9848833909005,65.5159883653996,334.9848833909005,0.8600339086573398,
350.32456186451077,62.66932424230423,350.32456186451077,0.820885085419694,
366.36667721614316,59.94607764401847,366.36667721614316,0.783651759105674,
383.1433955416162,57.34091734755439,383.1433955416162,0.7482749339465942,
400.6883558914757,54.848747166726575,400.6883558914757,0.7146935171462875,
419.03673772076064,52.46469476515609,419.03673772076064,0.6828439758228092,
438.22533142743896,50.184100953311564,438.22533142743896,0.6526602069169545,
458.2926121209498,48.00250948167938,458.2926121209498,0.6240735935179615,
479.2788167687661,45.915657334964195,479.2788167687661,0.5970132181971894,
501.22602487566456,43.91946552537511,501.22602487566456,0.5714062029966701,
524.1782428574726,42.01003037693504,524.1782428574726,0.5471781463860151,
548.1814922784702,40.18361528761389,548.1814922784702,0.5242536294110312,
573.2839021293738,38.436642952072724,573.2839021293738,0.5025567660317404,
599.5358053309263,36.76568802493411,599.5358053309263,0.4820117759210604,
626.9898396565933,35.1674702027087,626.9898396565933,0.4625435614429414,
655.7010532767296,33.638847701679374,655.7010532767296,0.4440782738847873,
685.7270151358366,32.17681110899809,685.7270151358366,0.42654385707976306,
717.1279303842347,30.778477584795002,717.1279303842347,0.40987055918486337,
749.9667610955984,29.441085394033145,749.9667610955984,0.393991405507772,
784.3093525124082,28.161988747973183,784.3093525124082,0.37884262688453685,
820.224565072452,26.938652936273588,820.224565072452,0.3643640392345821,
857.7844124811066,25.768649731799957,857.7844124811066,0.3504993706334675,
897.0642061062426,24.649653051049995,897.0642061062426,0.33719653265080707,
938.142705985285,23.579434853653876,938.142705985285,0.32440783292352876,
981.1022787472119,22.555861264661246,981.1022787472119,0.3120901261058639,
1026.0290627661395,21.576888903298308,1026.0290627661395,0.30020490058570126,
1073.0131408776467,20.64056140163263,1073.0131408776467,0.28871829879800043,
1122.1487210041523,19.745006096216134,1122.1487210041523,0.2776010696898235,
1173.5343250515148,18.88843087541091,1173.5343250515148,0.26682845295322855,
1227.2729864556143,18.06912116487589,1227.2729864556143,0.2563799960532637,
1283.4724567750195,17.28543703374003,1283.4724567750195,0.2462393068037502,
1342.245421743976,16.53581040443439,1342.245421743976,0.23639374620012632,
1403.7097272189235,15.818742350086117,1403.7097272189235,0.22683406828315344,
1467.9886154715934,15.132800464840985,1467.9886154715934,0.21755401582524275,
1535.2109723024755,14.476616294465634,1535.2109723024755,0.20854988243417688,
1605.5115854701385,13.848882817022902,1605.5115854701385,0.19982005309281703,
1679.031414954591,13.248351966193463,1679.031414954591,0.19136453605736609,
1755.9178755965756,12.673832192777049,1755.9178755965756,0.1831844993213029,
1836.3251326795319,12.124186062861847,1836.3251326795319,0.1752818244709652,
1920.4144110468878,11.5983278939123,1920.4144110468878,0.16765868972563713,
2008.3543183744998,11.095221432421082,2008.3543183744998,0.16031719234136646,
2100.3211832464335,10.613877578661128,2100.3211832464335,0.15325901848487253,
2196.4994087119585,10.153352165365673,2196.4994087119585,0.14648516630816616,
2297.081842032684,9.712743797821878,2297.081842032684,0.13999572544930214,
